,State_x,City_x,2010 POP,Median 2010,2011 POP,Median 2011,2012 POP,Median 2012,2013 POP,Median 2013,2014 POP,Median 2014,2015 POP,Median 2015,2016 POP,Median 2016,2017 POP,Median 2017,Brewery Name,City_y,State_y,Country,Year Established,Still in Business?,Closed?
76512,Washington,Tukwila city,19163,57244,19391,58890,19652,59374,19813,59478,19956,60294,20043,61062,20117,62848,20144,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76513,Washington,Woodinville city,10967,57244,11090,58890,11234,59374,11314,59478,11362,60294,11754,61062,11996,62848,11997,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76514,Washington,Yarrow Point town,1006,57244,1020,58890,1033,59374,1048,59478,1065,60294,1084,61062,1103,62848,1126,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76515,Washington,Balance of King County,227957,57244,232086,58890,235988,59374,238885,59478,241677,60294,243347,61062,244550,62848,245351,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76516,Washington,Kitsap County,251658,57244,254250,58890,254306,59374,252434,59478,253381,60294,259175,61062,263109,62848,266414,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76517,Washington,Bainbridge Island city,23061,57244,23161,58890,23176,59374,23027,59478,23135,60294,23611,61062,24150,62848,24522,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76518,Washington,Bremerton city,37848,57244,39201,58890,39202,59374,38204,59478,38463,60294,39855,61062,40429,62848,41041,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76519,Washington,Port Orchard city,12235,57244,12507,58890,12605,59374,12874,59478,13179,60294,13485,61062,13828,62848,13997,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76520,Washington,Poulsbo city,9278,57244,9323,58890,9359,59374,9453,59478,9637,60294,9945,61062,10303,62848,10670,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76521,Washington,Balance of Kitsap County,169236,57244,170058,58890,169964,59374,168876,59478,168967,60294,172279,61062,174399,62848,176184,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76522,Washington,Kittitas County,40985,57244,41539,58890,41611,59374,41825,59478,42582,60294,43091,61062,44928,62848,46205,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76523,Washington,Cle Elum city,1872,57244,1891,58890,1889,59374,1888,59478,1889,60294,1903,61062,1961,62848,1993,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76524,Washington,Ellensburg city,18422,57244,18605,58890,18462,59374,18524,59478,18962,60294,18993,61062,19776,62848,20326,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76525,Washington,Kittitas city,1365,57244,1403,58890,1410,59374,1409,59478,1409,60294,1421,61062,1461,62848,1491,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
